date,added_ticker,removed_ticker
2014-09-01,URI,BTU
2014-09-01,UHS,GHC
2014-08-01,MNK,RDC
2014-08-01,DISCK,
2014-07-01,MLM,X
2014-07-01,AMG,FRX
2014-06-01,XEC,IGT
2014-05-01,AVGO,LSI
2014-05-01,UAA,BEAM
2014-05-01,NAVI,SLM
2014-04-01,GOOGL,
2014-04-01,ESS,CLF
2014-03-01,GMCR,WPX
2014-01-01,TSCO,LIFE
2013-12-01,ADS,ANF
2013-12-01,MHK,JDSU
2013-12-01,FB,TER
2013-12-01,GGP,MOLX
2013-12-01,ALLE,JCP
2013-11-01,KORS,NYX
2013-10-01,RIG,DELL
2013-09-01,VRTX,AMD
2013-09-01,AME,SAI
2013-09-01,DAL,BMC
2013-07-01,NLSN,S
2013-06-01,FOXA,APOL
2013-06-01,ZTS,FHN
2013-06-01,GM,HNZ
2013-05-01,KSU,DF
2013-05-01,MAC,CVH
2013-04-01,REGN,PCS
2013-02-01,PVH,BIG
2012-12-01,ABBV,FII
2012-12-01,DLPH,TIE
2012-12-01,GRMN,RRD
2012-12-01,DG,CBE
2012-10-01,PETM,SUN
2012-10-01,KRFT,ANR
2012-10-01,ADT,LXK
2012-10-01,PNR,DV
2012-09-01,LYB,SHLD
2012-07-01,ESV,GR
2012-07-01,STX,PGN
2012-06-01,MNST,SLE
2012-06-01,LRCX,NVLS
2012-05-01,ALXN,MMI
2012-05-01,KMI,EP
2012-04-01,PSX,SVU
2012-04-01,FOSL,MHS
2012-03-01,CCI,CEG
2011-12-01,WPX,CPWR
2011-12-01,TRIP,TLAB
2011-12-01,BWA,AKS
2011-12-01,PRGO,MWW
2011-12-01,DLTR,WFR
2011-12-01,GAS,GAS
2011-11-01,CBE,JNS
2011-10-01,XYL,ITT
2011-10-01,TEL,CEPH
2011-09-01,MOS,NSM
2011-07-01,ACN,MI
2011-06-01,MPC,RSH
2011-06-01,ANR,MEE
2011-04-01,CMG,NOVL
2011-04-01,BLK,GENZ
2011-03-01,EW,Q
2011-02-01,COV,MFE
2011-02-01,JOY,AYE
2010-12-01,CVC,KG
2010-12-01,FFIV,EK
2010-12-01,NFLX,ODP
2010-12-01,NFX,NYT
2010-11-01,IR,PTV
2010-08-01,TYC,SII
2010-07-01,CB,MIL
2010-06-01,QEP,STR
2010-06-01,KMX,XTO
2010-04-01,CERN,BJS
2010-02-01,HP,RX
2009-12-01,V,CIEN
2009-12-01,MJN,DYN
2009-12-01,CLF,KBH
2009-12-01,SAI,CVG
2009-12-01,ROST,MBI
2009-11-01,PCLN,SGP
2009-09-01,ARG,CBE
2009-03-01,HRL,ACAS
2009-03-01,VTR,JNY
2008-12-01,OI,WB
2008-09-01,HRS,LEH
2008-09-01,CRM,FRE
2008-09-01,FAST,FNM
2008-06-01,COG,BC
2008-06-01,MEE,OMX
2008-06-01,LO,ABK
2007-12-01,RRC,TRB
2007-12-01,GME,DJ
2007-10-01,JEC,AV
2007-10-01,EXPE,SLR
2007-10-01,TDC,NCR
2007-09-01,TSO,MXIM
2007-09-01,ICE,FDC
2007-08-01,LUK,KSE
2007-03-01,KFT,TSG
2007-01-01,AVB,SBL
2006-06-01,JNPR,ABS
2005-11-01,AMZN,T
2005-07-01,STZ,GLK
2003-09-01,ESRX,QTRN
2000-12-01,INTU,BS
2000-12-01,SBL,OI
2000-12-01,AYE,GRA
2000-12-01,ABK,CCK
2000-07-01,JDSU,RAD
1999-12-01,YHOO,LDW
